                          ;PORTAL MARINO PESCADERIA;   
                          ;89346h;   
                          ;COMPROBATE DE PAGO DE SALARIO;   
EMPLEADO                  ;;sofia  vergara;
C.C.                      ;;9928;
CARGO                     ; ;vender
SALARIO BASICO            ;;900000.0;
PERIODO DE PAGO           ;;28.11.2017 a 28.11.2017
FECHA DE PAGO             ;;28.11.2017
CIUDAD                    ;;BOGOTA D.C.
PAGOS                     ;
Salario                   ;;$450000.0;
Horas Extra               ;;$3529;
Dominicales               ;;$120000.0;
Auxilio de transporte     ;;$41570.0;
TOTAL PAGOS               ;; ;$615099;
 ; ; ;
DEDUCCIONES               ;
Descto seguridad salud    ; ;$18000.0;
Descto seguridad pension  ; ;$18000.0;
Descto Dias               ; ;$60000;
Descto Horas              ; ;$3529;
Vale por Almuerzos        ;;$1800.0;
Prestamos                 ;;$3.0;
TOTAL DEDUCCIONES         ;; ;$-101332;
; ; ;
NETO A PAGAR              ;; ;$ 513767;
; ; ;
; ; ;
Autorizado por:           ;;Recibe conforme:;
; ; ;
__________________________;;_____________________________ ;
YULINA GARCIA; ;sofiavergara;
