                          ;PORTAL MARINO PESCADERIA;   
                          ;123;   
                          ;COMPROBATE DE PAGO DE SALARIO;   
EMPLEADO                  ;;linaedf;
C.C.                      ;;9911;
CARGO                     ; ;vendedor
SALARIO BASICO            ;;800000.0;
PERIODO DE PAGO           ;;20.11.2017 a 20.11.2017
FECHA DE PAGO             ;;20.11.2017
CIUDAD                    ;;BOGOTA D.C.
PAGOS                     ;
Salario                   ;;$400000.0;
Dominicales               ;;$106666.66666666667;
Auxilio de transporte     ;;$41570.0;
TOTAL PAGOS               ;; ;$548236.6666666666;
 ; ; ;
DEDUCCIONES               ;
Descto seguridad salud    ; ;$16000.0;
Descto seguridad pension  ; ;$16000.0
Vale por Almuerzos        ;;$1800.0
Prestamos                 ;;$0.0
TOTAL DEDUCCIONES         ;; ;$-49800.0
; ; ;
NETO A PAGAR              ;; ;$ 598036.6666666666
; ; ;
; ; ;
Autorizado por:           ;;Recibe conforme:;
; ; ;
__________________________;;_____________________________ ;
YULINA GARCIA; ;linaedf;
