                          ;PORTAL MARINO PESCADERIA;   
                          ;123;   
                          ;COMPROBATE DE PAGO DE SALARIO;   
EMPLEADO                  ;;alejandrofernandez;
C.C.                      ;;9912;
CARGO                     ; ;comprador
SALARIO BASICO            ;;900000.0;
PERIODO DE PAGO           ;;26.11.2017 a 26.11.2017
FECHA DE PAGO             ;;26.11.2017
CIUDAD                    ;;BOGOTA D.C.
PAGOS                     ;
Salario                   ;;$450000.0;
Horas Extra               ;;$6666;
Dominicales               ;;$180000.0;
Auxilio de transporte     ;;$41570.0;
TOTAL PAGOS               ;; ;$678236;
 ; ; ;
DEDUCCIONES               ;
Descto seguridad salud    ; ;$18000.0;
Descto seguridad pension  ; ;$18000.0;
Descto Dias               ; ;$90000;
Descto Horas              ; ;$16666;
Vale por Almuerzos        ;;$1800.0;
Prestamos                 ;;$9000.0;
TOTAL DEDUCCIONES         ;; ;$-171466;
; ; ;
NETO A PAGAR              ;; ;$ 506770;
; ; ;
; ; ;
Autorizado por:           ;;Recibe conforme:;
; ; ;
__________________________;;_____________________________ ;
YULINA GARCIA; ;alejandrofernandez;
