   ;PORTAL MARINO PESCADERIA;   
   ;123;   
   ;COMPROBATE DE PAGO DE SALARIO;   
EMPLEADO ; ;linavelasquez;
C.C.; ;99111202814;
CARGO; ;vendedor
SALARIO BASICO ; ;700000.0;
PERIODO DE PAGO; ;17/11/2017 a 19.11.2017
FECHA DE PAGO; ;19.11.2017
CIUDAD; ;BOGOTA D.C.
PAGOS;
Salario; ;$350000.0;
Dominicales; ;$46666.666666666664;
Auxilio de transporte ; ;$41570.0;
TOTAL PAGOS ; ;$391570.0;
 ; ; ;
DEDUCCIONES;
Descto seguridad salud; ;$0.0;
Descto seguridad pension; ;$0.0
Vale por Almuerzos; ;$1800.0
Prestamos; ;$0.0
TOTAL DEDUCCIONES; ; ;$-1800.0
; ; ;
NETO A PAGAR; ; ;$ 393370.0
; ; ;
; ; ;
Autorizado por: ; ;Recibe conforme:;
; ; ;
________________; ;__________________________ ;
YULINA GARCIA; ;linavelasquez;
