                          ;PORTAL MARINO PESCADERIA;   
                          ;123;   
                          ;COMPROBATE DE PAGO DE SALARIO;   
EMPLEADO                  ;;luna lunaluna;
C.C.                      ;;9911;
CARGO                     ; ;vendedor
SALARIO BASICO            ;;800000.0;
PERIODO DE PAGO           ;;20.11.2017 a 25.11.2017
FECHA DE PAGO             ;;25.11.2017
CIUDAD                    ;;BOGOTA D.C.
PAGOS                     ;
Salario                   ;;$400000.0;
Dominicales               ;;$53333.333333333336;
Auxilio de transporte     ;;$41570.0;
TOTAL PAGOS               ;; ;$494903.3333333333;
 ; ; ;
DEDUCCIONES               ;
Descto seguridad salud    ; ;$16000.0;
Descto seguridad pension  ; ;$16000.0
Vale por Almuerzos        ;;$1800.0
Prestamos                 ;;$0.0
TOTAL DEDUCCIONES         ;; ;$-49800.0
; ; ;
NETO A PAGAR              ;; ;$ 544703.3333333333
; ; ;
; ; ;
Autorizado por:           ;;Recibe conforme:;
; ; ;
__________________________;;_____________________________ ;
YULINA GARCIA; ;luna lunaluna;
